V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
 4013, 6071,13277,17031,22083,36005,36047,45083,48201,48253,48315
Maricopa,San Bernardino,Tift,Cook,Richland,Bronx,Kings,Spartanburg,Harris,Jones,Marion
Arizona,California,Georgia,Illinois,Louisiana,New York,New York,South Carolina,Texas,Texas,Texas
US,US,US,US,US,US,US,US,US,US,US
67543,15932,  892,93053,  217,49516,61158, 2009,39311,  609,   34
70128,16586,  903,93496,  242,49537,61218, 2083,40012,  611,   37
73165,17414,  924,94005,  249,49609,61369, 2158,40918,  607,   37
76328,18275,  950,94605,  257,49725,61497, 2238,41999,  604,   37
78481,18912,  969,95138,  272,49812,61623, 2363,43939,  604,   37
80146,19043,  983,95557,  283,49907,61730, 2460,45368,  604,   40
81216,19502,  997,95884,  290,49979,61825, 2562,47369,  604,   58
84233,20456,  999,96186,  294,50025,61902, 2648,49027,  607,   64
86483,21468, 1013,96662,  302,50073,61962, 2745,50362,  609,   64
88954,21468, 1062,97214,  332,50186,62089, 2826,51959,  608,   67
91863,23238, 1093,97790,  348,50260,62203, 2905,53535,  639,   68
93870,23566, 1101,98292,  348,50375,62355, 2950,54782,  641,   71
95471,23772, 1108,98670,  372,50473,62456, 3041,55743,  641,   71
96711,24099, 1109,99052,  382,50552,62565, 3117,57071,  641,  108
98988,25067, 1088,99464,  387,50609,62629, 3166,58457,  659,  111
100543, 25775,  1089,100124,   409, 50655, 62675,  3252, 59901,   653,   111
102247, 26185,  1104,100795,   438, 50753, 62770,  3298, 61411,   652,   113
104613, 26796,  1131,101411,   447, 50827, 62852,  3347, 62612,   631,   114
107291, 26796,  1150,101955,   447, 50909, 62956,  3405, 64108,   621,   116
108677, 27992,  1153,102583,   472, 50983, 63043,  3432, 65344,   621,   117
109988, 27992,  1158,103008,   477, 51059, 63116,  3450, 66190,   621,   117
111446, 29962,  1180,103441,   479, 51087, 63156,  3486, 67655,   621,   119
113148, 32309,  1189,104001,   487, 51119, 63202,  3544, 69123,   621,   122
114852, 31688,  1208,104687,   500, 51179, 63290,  3609, 70847,   621,   122
117293, 32230,  1220,105493,   513, 51239, 63405,  3656, 72961,   624,   123
119295, 32696,  1241,106131,   513, 51322, 63485,  3700, 74881,   622,   123
120279, 32980,  1246,106713,   538, 51382, 63586,  3741, 76639,   622,   123
120960, 33432,  1249,107247,   544, 51441, 63672,  3793, 78100,   622,   127
121789, 34017,  1264,107744,   551, 51482, 63735,  3838, 79536,   628,   127
123082, 34237,  1287,108425,   560, 51516, 63780,  3898, 80914,   631,   128
124022, 34635,  1297,109150,   577, 51615, 63880,  3961, 81919,   632,   129
124924, 34939,  1313,110002,   586, 51668, 63933,  4005, 83183,   629,   130
125545, 35452,  1321,110865,   586, 51737, 64033,  4057, 84600,   596,   133
126053, 35712,  1333,111447,   601, 51805, 64124,  4080, 85757,   596,   133
126371, 36072,  1345,111948,   602, 51867, 64218,  4100, 86563,   596,   133
126791, 36072,  1363,112484,   604, 51903, 64286,  4172, 87505,   600,   134
127188, 38290,  1373,113044,   615, 51926, 64339,  4222, 88494,   599,   134
127768, 38290,  1380,113788,   624, 52023, 64425,  4299, 89425,   599,   135
128352, 39374,  1390,114724,   635, 52100, 64520,  4335, 90574,   601,   135
128865, 40338,  1395,115344,   635, 52164, 64637,  4360, 91698,   600,   136
129385, 41124,  1399,115960,   641, 52230, 64745,  4389, 92253,   600,   136
129562, 41564,  1402,116620,   642, 52302, 64835,  4400, 92944,   600,   136
129958, 42150,  1412,117171,   643, 52345, 64874,  4469, 93872,   603,   136
130384, 42947,  1415,118012,   649, 52375, 64930,  4526, 94676,   605,   136
130800, 43469,  1418,118757,   653, 52453, 65032,  4559, 95631,   607,   136
131166, 43943,  1422,119644,   657, 52513, 65106,  4651, 96658,   600,   139
131685, 44603,  1438,120567,   657, 52575, 65186,  4685, 97745,   601,   139
131787, 45035,  1445,121308,   664, 52644, 65247,  4702, 98506,   601,   139
131962, 45246,  1448,121877,   667, 52703, 65326,  4715, 99290,   601,   139
132290, 45666,  1451,122423,   664, 52738, 65365,  4778,100171,   604,   139
132434, 46051,  1468,123172,   666, 52777, 65429,  4804,101077,   602,   139
132704, 46407,  1479,123691,   678, 52845, 65524,  4823,101670,   601,   139
132986, 46892,  1485,124573,   682, 52913, 65612,  4896,103088,   601,   140
133389, 47145,  1496,125124,   682, 52985, 65736,  4969,104649,   598,   140
133641, 47373,  1499,126003,   686, 53042, 65842,  4994,105757,   598,   140
133728, 47642,  1501,126577,   687, 53123, 65927,  5016,106595,   598,   140
134004, 47879,  1511,126992,   696, 53159, 65975,  5047,107490,   598,   140
134346, 48245,  1530,127616,   703, 53185, 66046,  5128,108085,   598,   142
135109, 48615,  1547,128012,   708, 53237, 66170,  5227,108819,   599,   143
135495, 48615,  1560,129545,   716, 53300, 66278,  5442,109834,   601,   146
135856, 49325,  1566,130616,   716, 53350, 66383,  5540,110762,   588,   146
135964, 49558,  1577,131078,   718, 53395, 66479,  5579,111525,   588,   146
